decade,year,number,author,title,generic subtitle,source,exclusion,words,mode,temporality I,temporality II,characters (RW),truth(RW),truth place,person,1st person type,inset,1st-person insets?,titled insets?,# 1P insets,pages 1P insets,# 3P insets,pages 3P insets,pages total,segmentation,numb. Segs.,(1) authorial,(2) sententious,(3) character description,(4) location/period description,(5) Action,(5s) speech type,order 1,
1600s,1601,1,An,"Fantaisies amoureuses, ou sont décrites les amours d'Alerio et Mariane",0,BNF Arsenal,0,83,rw,con,,nobodies,ind,,1,frame,i6,n,n,,,,,,0,,,,,,,,,
1600s,1601,2,An,"Les tragiques amours du fidel Yrion et de la belle Pasithée, où se voit combien peut un' amour honorablement et saintement poursuivie: et comme se termine celle qui a ses intentions impudiques",0,BNF Arsenal,0,33,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,3,Bazire,Les amours d'Amynthio et de la belle Odylie,0,BNF Tolbiac,0,17,rw,his,vague,nobodies,ind,,3,,i4,n,y,,,,,,0,,,,,,,,,
1600s,1601,4,Bazire,La Bergere de la Palestine,0,BNF Arsenal,0,34,rw,his,myth,somebodies,,,3,,i4,y,n,,,,,,0,,,,,,,,,
1600s,1601,5,Corbin,"Les amours de Philocaste, où par mille beaux et rares accidents, il se voit que les variables hasards de la Fortune ne peuvent rien sur la constance de l'amour",0,BNF Arsenal,0,24,rw,his,vague,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,6,Des Escuteaux,Les heureuses et pudiques amours de Clarimond et Antonide,0,BNF Arsenal,0,37,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,7,Des Escuteaux,Les infortunées et chastes amours de Filiris et Isolia,0,BNF Arsenal,0,57,rw,uns,,nobodies,ind,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,8,Du Perier,Les amours de Pistion,0,Googlebooks,0,25,rw,uns,,nobodies,fict,other (fake kings),3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,9,Du Souhait,"Les Propriétés d'Amour et les propriétés des Amants, contenan une histoire véritable des amours de Filine et de Ploymante",0,BNF Arsenal,0,11,rw,con,,nobodies,fact,title,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,10,Espinaud,"Les Amours de Genievre et d'Ariodant, à l'imtation de l'Arioste",0,BNF Arsenal,0,16,rw,his,myth,somebodies,,,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,11,Fouet,"Floriane, son Amour, sa Pénitence, et sa Mort",0,BNF Arsenal,0,26,rw,uns,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,12,Goulart,Histoires admirables,0,,collection,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600s,1601,13,La Regnerye,Les Constantes et infortunées amours de Lintason avec l'infidele Pallinoé,0,BNF Arsenal,0,35,rw,con,,nobodies,fact,incipit,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,14,Nervèze,Le Triomphe de la constance où sont descrites les amours de Cloridon et de Melliflore,0,Googlebooks,0,38,rw,con,,nobodies,fact,post,3,,0,,,,,,,,0,,,,,,,,,
1600s,1601,15,Roussel,"Histoire de Cleophas et Sephora, les aventures diverses de leur amitié et leur fin glorieuse",0,BNF Arsenal,0,28,rw,his,gallia,nobodies,fact,pref,3,,i3,y,n,,,,,,0,,,,,,,,,
1600s,1602,1,An,La Constance d'Alisée et de Diane,0,BNF Arsenal,0,17,rw,con,,nobodies,fact,pref,3,,0,,,,,,,,0,,,,,,,,,
